,Brand,Dim1,Dim2,Dim3
0,Share NOW,-0.3698476657965,-0.379237823204007,-0.495254961866004
1,Ryanair,0.199500434570554,-0.228400870680787,-1.64602538894187
2,VRS,1.59109818409426,0.497286206575799,1.6639588392047
3,StadtRad,0.325559207531604,0.382960703000265,0.929391983366129
4,Tier,-1.18567830306012,1.5634489501125,0.0198916061524111
5,Moovit,0.561761310029582,0.0735290384632516,-0.269970824984042
6,BlaBlaCar,-0.134726454856541,-0.414260886907741,-0.790674786005457
7,Bolt,-1.3006979020185,-0.421819143671361,1.36819479253953
8,Omnio,0.367512839832677,-0.179082678524103,-0.894032547538605
9,Bird,-1.18820706274663,1.55721982059358,0.495259038209538
10,Uber,-0.954713431355624,-1.53998353599002,1.08031600090552
11,Enterprise Rent-A-Car,-0.15496008025239,-0.574111687714222,-1.80317629434984
12,Flinkster,0.129099466664454,-0.147414090138837,-0.681605101826061
13,Öffi,0.886684482649316,0.142824810497075,0.122659826274597
14,Moia,-1.27689439012621,-2.20731175424755,1.29705153741523
15,Lufthansa,0.758887936931963,0.256826434248468,0.0514184929978282
16,dott,-1.2890638992379,1.6144190872181,0.142625617064351
17,MVG Fahrinfo München,1.69772899187093,0.62755298529135,1.73204678473672
18,Flixtrain,0.962954673400526,0.157136542527974,-0.106629516823918
19,FAIRTIQ,0.0859734575731778,0.0496693061687104,-0.696803215719081
20,FahrPlaner,1.15080061679585,0.078425140719843,0.0628409364663063
21,Miles,-0.45615621904342,-0.262209403026631,-0.85179575622
22,FreeNow,-0.752816723428414,-1.20447484482067,0.949283827468805
23,Voi,-1.27272444428486,1.60227313365259,0.111053226977393
24,Lime,-1.3740358966855,1.84171677567507,0.245968984796614
25,FlixBus,0.250134810830577,-0.518919570804479,-0.805356657891289
26,Link,-1.13591041573022,1.36391793747432,0.0779993488567876
27,Turkish Airlines,0.0938025347370153,-0.250363112440067,-1.31631784693316
28,Europcar,0.541834332301773,0.174900085026919,0.16671080487068
29,BYKE,-1.19785979921198,1.53564345522113,0.514724954099545
30,emmy,-0.729878330663959,1.49058707926396,0.56255287655479
31,Sixt,-0.0800715789757097,-0.556842694738794,-2.38301407650149
32,Lyft,-1.17739222646693,0.258804989099025,0.362664677316449
33,WeShare,-0.586958272878445,-0.252202351495327,-0.689329701173438
34,Eurowings,0.0549662886099287,-0.509219827478933,-1.78525084823887
35,BVG Fahrinfo,1.12373451828443,0.0855954075648835,0.160078206378315
36,easyJet,0.170959695179747,-0.464140716601164,-2.5023889613499
37,Felyx,-0.741318487266784,1.05921459842117,0.0939554787418116
38,BVG Jelbi,0.213601628064103,0.393325011378914,0.232363631754974
39,DB,1.45814921899356,0.266264333724319,0.742884336546157
40,Call a Bike,0.0009975763288833,0.629617341848135,1.10446634030309
41,HVV,1.24647027497163,0.415301673785283,0.887283894276414
42,Zeus,-1.32768859831408,1.78680712126135,0.999650782351767
43,Spin,-1.22040373419426,1.60734588921591,0.483154053575993
44,BVG Tickets,1.10742172260474,0.456040039051,1.00563897444758
